------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Work ctr|Type|Group   |GrC|Material    |OpAc|Valid From|Valid to  |Change No.  |Prod.resources/tools  |Descr. of the production resource/tool  |   Quantity|Un.|Item|Cat|Grp1|Grp2|
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            | 2,400.000 |PC |   1|M  |    |    |
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5002193         |DIE, PROG For ET17626                   |     1.000 |PC | 100|E  |    |    |
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|MXGT-3001585          |CHECKING FIXTURE                        |     1.000 |PC |3000|E  |    |    |
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|IMD15537              |. ULTRASONIC MICRO.                     |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|IMD15541              |. FEELER GAGE-(MM)                      |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375597|1  |ET17626     |0200|11/03/2014|12/31/9999|AI3735MXPROD|MX01003143 ZMD 000 00 |MDS\ET17626\0200                        |     1.000 |EA | 500|D  |    |    |
|08975   |N   |50375604|1  |E36417      |0090|09/20/2016|12/31/9999|AI8809MXPROD|RCB05                 |12" x 15" x 5" PLASTIC TOTE             |   100.000 |PC |   1|M  |    |    |
|08148   |N   |50375604|1  |E36417      |0092|09/20/2016|12/31/9999|AI8809MXPROD|RCB05                 |12" x 15" x 5" PLASTIC TOTE             |   100.000 |PC |   1|M  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   800.000 |PC |   1|M  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004319         |. M/C MOUNT AUTO LU                     |     1.000 |PC |  99|E  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD16929              |LUBT DILUTED DRAW LUBE 5:1POLYAQUA      |     1.000 |PC |  99|M  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5002542         |DIE, PROG For GX21288                   |     1.000 |PC | 100|E  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15537              |. ULTRASONIC MICRO.                     |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01003221 ZMD 000 00 |MDS\GX21288\0100                        |     1.000 |EA | 500|D  |    |    |
|04815   |N   |50375607|1  |GX21288     |0100|02/16/2018|12/31/9999|AL9643MXPROD|RCG34                 |RETURNABLE CONTAINER 30X32X34           |   800.000 |PC |   3|M  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   800.000 |PC |   1|M  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004319         |. M/C MOUNT AUTO LU                     |     1.000 |PC |  99|E  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD16929              |LUBT DILUTED DRAW LUBE 5:1POLYAQUA      |     1.000 |PC |  99|M  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5002541         |DIE, PROG For GX21289                   |     1.000 |PC | 100|E  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15537              |. ULTRASONIC MICRO.                     |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01003222 ZMD 000 00 |MDS\GX21289\0100                        |     1.000 |EA | 500|D  |    |    |
|04815   |N   |50375608|1  |GX21289     |0100|02/16/2018|12/31/9999|AL9643MXPROD|RCG34                 |RETURNABLE CONTAINER 30X32X34           |   800.000 |PC |   3|M  |    |    |
|04815   |N   |50375609|1  |GX21290     |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   500.000 |PC |   1|M  |    |    |
|04815   |N   |50375609|1  |GX21290     |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004319         |. M/C MOUNT AUTO LU                     |     1.000 |PC |  99|E  |    |    |
